1095|798|358
1096|358|798
1134|182|790
1136|790|182
1148|929|2456
1150|2456|929
1152|2358|1441
1154|1441|2358
1228|59|645
1303|447|2497
1304|2497|447
1456|618|2469
1458|2469|618
1461|443|59
1462|59|443
1485|798|1230
1486|1230|798
1487|447|2497
1488|2497|447
1551|798|2456
1552|2456|798
1801|445|2846
1802|2846|445
1818|619|172
1820|172|619
1881|445|282
1882|282|445
2011|597|1159
2012|496|1159
2051|777|1900
2052|1900|2649
2061|777|429
2062|429|777
2065|1247|1670
2066|1670|1247
2071|443|1743
2073|1743|443
2083|777|1759
2084|1759|777
2123|2846|156
2124|156|2846
2150|2497|1340
2152|1340|2497
2167|2599|1900
2168|1900|2599
2207|2846|777
2209|777|2846
2257|443|156
2258|156|443
2462|435|143
2464|143|435
2549|443|2718
2550|2718|443
2559|445|2420
2560|2420|445
2589|443|1444
2591|1444|443
2602|2103|729
2604|729|2103
2614|1625|2456
2616|2456|1625
2621|445|2420
2622|2420|445
2623|777|1831
2624|1831|777
2635|618|358
2636|358|618
2667|1670|1843
2668|1843|1670
2671|729|2358
2672|2358|729
2673|798|1371
2674|1371|798
2675|143|474
2676|474|143
2686|156|1831
2688|1831|156
2701|618|2563
2702|2563|618
2727|777|2160
2728|2160|777
4031|1838|2841
4032|2841|1838
4043|1900|945
4044|945|1900
4045|1900|2160
4046|2160|1900
4059|429|710
4060|710|429
4071|295|2794
4072|2794|295
4081|2846|451
4082|451|2846
4083|2846|2841
4084|2841|2846
4085|2846|950
4086|950|2846
4095|1723|2846
4096|2846|1723
4133|295|425
4134|425|295
4135|295|425
4136|425|295
4161|295|560
4162|560|295
4171|1900|2794
4172|2794|81
4173|1900|295
4174|295|1900
4182|1830|1759
4184|1759|1830
4187|1759|1831
4188|1831|1759
4189|295|2794
4190|2794|295
4191|295|2794
4192|2794|295
4215|2718|1670
4216|1670|443
4223|1670|156
4224|156|1670
4229|2290|1670
4230|1670|2290
4245|2462|1987
4246|1987|2462
4247|2462|1976
4255|584|2572
4256|2572|584
4289|1131|686
4290|686|1131
4301|595|2215
4302|2215|595
4305|2599|1545
4306|1545|2599
4309|2625|2469
4310|2469|59
4315|1412|1958
4316|1958|1412
4318|2462|156
4320|156|2462
4321|1412|520
4322|520|1670
4325|1670|2610
4326|2610|1670
4327|584|2469
4328|2420|584
4330|2469|2420
4343|595|686
4344|686|595
4345|172|2651
4346|2651|172
4347|2462|2679
4348|2679|2462
4355|676|2469
4357|2469|676
4368|1113|2469
4370|2469|1113
4372|1113|2686
4374|2686|1113
4375|2599|1545
4377|1545|2599
4415|443|1158
4416|1158|443
4464|2637|153
4465|2034|2637
4466|2637|2034
4471|445|1247
4473|1247|445
4481|790|1765
4482|1765|790
4611|798|264
4612|264|798
4615|868|798
4616|798|868
4627|143|2452
4628|2452|143
4629|729|1399
4630|1399|729
4635|1206|798
4636|798|1206
4641|729|1399
4642|1399|729
4643|798|1494
4652|618|212
4654|212|618
4706|525|1731
4708|1731|2482
4717|2497|2482
4718|2482|525
4720|525|2497
4732|525|1731
4734|1731|2482
4741|525|2482
4742|2482|525
4744|2482|525
4746|2482|525
4811|918|1215
4812|1215|918
5005|1476|145
5006|145|1476
5007|1476|145
5008|145|1476
5014|1876|2286
5018|1876|1393
5020|1393|1876
5022|2696|1393
5024|1393|2696
5026|2696|1393
5028|1393|2696
5036|1476|1876
5038|2697|1476
5040|2286|831
5042|831|2286
5045|1740|1743
5046|1743|1740
5365|2604|2726
5366|2726|2604
5505|1511|2253
5506|2253|1511
5511|496|408
5512|408|496
5517|496|1027
5518|1027|496
5538|1816|2532
5540|2532|1816
5609|2524|2098
5610|2098|2524
5611|385|2523
5612|2523|385
5619|1889|1383
5620|1383|1889
5629|2523|2480
5630|2480|2523
5633|1383|1265
5634|1265|1383
5635|385|1367
5636|1367|385
5639|1911|2403
5640|2403|1911
5645|2403|1367
5647|1367|2403
5801|185|2653
5802|2653|185
5809|655|623
5810|623|655
5818|186|623
5820|278|2683
6003|349|2138
6004|2138|349
6021|595|2739
6022|2739|595
6025|2803|202
6026|202|2803
6029|1247|2420
6030|2420|1247
6031|2034|798
6032|798|2034
6034|798|2034
6035|2469|2570
6036|2570|2469
6039|2469|2678
6041|2678|2469
6043|2486|2608
6044|2608|2486
6045|143|2721
6046|2721|143
6055|729|435
6056|435|729
6061|349|1348
6062|1348|349
6063|929|1089
6064|1089|929
6065|889|2444
6066|2444|889
6072|929|1059
6074|1059|929
6087|1158|729
6161|1265|1348
6162|1348|1265
6215|1528|295
6216|295|1528
6223|1900|95
6224|95|1900
6225|636|1055
6226|1055|2739
6231|238|636
6232|2739|238
6233|238|636
6234|636|238
6238|1759|708
6240|708|1759
6245|2846|575
6246|575|2846
6251|1900|2786
6252|2786|1900
6253|636|2157
6254|2157|636
6257|295|560
6258|560|295
6259|2846|950
6260|950|51
6261|51|950
6262|950|51
6263|51|950
6264|950|1655
6265|1655|950
6266|950|2846
6268|1759|2277
6270|2277|1759
6272|295|169
6274|169|295
6275|1723|2846
6276|2846|1723
6277|1723|2846
6278|2846|1723
6279|51|2846
6280|2846|51
6282|295|5
6284|5|295
6286|1900|2603
6288|2603|1900
6291|295|2790
6292|2790|295
6335|339|2599
6336|2599|339
6337|2599|2669
6338|1198|2599
6345|2462|2849
6346|2849|2462
6361|2740|1670
6362|1670|2740
6363|2740|1670
6364|1670|2740
6365|2740|1670
6366|1670|2740
6397|884|1412
6398|1412|884
6419|2467|1247
6420|1247|2467
6423|2486|1853
6424|1853|2486
6433|381|1247
6434|1247|381
6436|1077|1247
6437|447|756
6452|1433|443
6455|1247|1077
6456|1077|1247
6601|636|742
6602|742|1838
6801|798|2575
6802|2575|798
6805|798|2575
6815|264|2639
6816|2639|264
6817|1868|798
6818|798|1868
6819|868|1009
6820|1009|868
6821|1701|1206
6822|1206|1701
6823|729|868
6833|868|1009
6845|143|2452
6849|143|297
6850|297|143
6851|436|182
6852|182|436
6853|436|1970
6854|1970|436
6856|618|212
6858|212|618
6905|1281|2608
6907|2608|1281
6918|2629|1731
6920|1731|665
6953|549|1072
6955|1072|549
6967|282|169
6968|169|282
7001|2358|2721
7003|2721|2358
7005|1544|2358
7006|2358|1544
7007|650|2358
7008|2358|650
7053|1774|1720
7054|1720|1774
7265|1159|1209
7266|1209|1861
7267|1861|1159
7269|1209|713
7270|713|1209
7273|2013|1209
7274|1307|2013
7275|1209|1307
7452|1348|2138
7454|2138|1348
7501|2663|355
7502|355|2663
7503|789|2663
7504|2663|789
7505|355|1572
7506|1572|355
7507|1572|663
7508|663|1572
7510|355|1056
7511|2563|2597
7513|2597|2563
7515|1999|2598
7516|2598|1999
7519|120|1571
7520|1571|120
7524|2563|1635
7529|663|2583
7530|2583|663
7531|2563|120
7532|120|2563
7535|663|1272
7537|1272|663
7556|186|623
7558|655|186
7565|655|623
7566|623|655
C1001|2599|1132
C1002|1132|2599
C1003|2599|1934
C1004|1132|2599
C1005|2599|1132
C1006|1132|2599
C1007|2599|1132
C1008|1934|2599
C1009|2599|1934
C1010|1132|2599
C1011|2599|1132
C1012|1934|2599
C1013|2599|1934
C1014|1934|2599
C1015|2599|1934
C1016|1132|2599
C1017|2599|1132
C1018|1132|2599
C1019|2599|1132
C1020|1132|2599
C1021|2599|1132
C1022|1934|2599
C1023|2599|1934
C1024|1132|2599
C1025|2599|1934
C1026|1934|2599
C1027|2599|1132
C1028|1132|2599
